Tweet_ID,Formatted_Text,Manual_Sentiment,Polarity,Subjectivity
9.78E+17,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/hsqdGqjvJc,,,
9.78E+17,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/pVokQDnnEQ,,,
9.78E+17,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/jj0w6GN3m0,,,
9.78E+17,@Paytmcare @paytmbankcare @Paytm @PaytmBank @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/vzzKFPSqAf,,,
9.78E+17,Yiiieeeeee.. Aa Gaya.!! I was waiting for it. Excited to use. #PayTmKaATM Thank You.!  @vijayshekhar @Paytm… https://t.co/Yycvq0ivKo,positive,,
9.78E+17,Hyyy everyone!! I have done my #Paytm #KYC  By my mother's #AadharCard urgently. But person verification has not be… https://t.co/nrlFugUDhu,negative,,
9.78E+17,Worst Bank Running in the country Right now PayTm of Payments bank cannot provide bank statement. Fraud bank @Paytm… https://t.co/wCGRW1hq70,negative,,
9.79E+17,Worst customer care service @paytmmallcare @PaytmMall,negative,,
9.77E+17,Send Money using @Paytm UPI & earn guaranteed Cashback up to ?1000. Send minimum ?50 to earn. T&C Apply.,neutral,,
9.77E+17,I tried calling back on 0120-4197550 but it says number is not valid.  @Paytm @vijayshekhar @PaytmBank @Paytmcare https://t.co/JHZb0UPVtw,negative,,
9.77E+17,"This is my FASTAG no:001-0077515 & @Paytm  @Paytmcare @PaytmBank registered mobile number 9524042424,my fastag not… https://t.co/Yi4fVfX5PS",negative,,
9.77E+17,"Yo anybody at this super-trustworthy, transparent, ethical company listening? @vijayshekhar @Paytm, @PaytmMall… https://t.co/Mw43MzYfkf",negative,,
9.77E+17,Please resolve my query reference no 57284368. @Paytm @PaytmMall @Paytmcare @PaytmBank @vijayshekhar,neutral,,
9.77E+17,"@vijayshekhar Mr. Chairman, why aadhar is mandatory for Paytm KYC, even after Supreme Court's clear  ruling. @Paytm… https://t.co/HIgPSjQuY3",negative,,
9.79E+17,"Now before sending money on @Paytm also, you need to add beneficiary etc? Where are the wallet benefits then?  What… https://t.co/fGoVtrsLDK",negative,,
9.78E+17,@Paytm took my amount and no recharge found...plz check the ticket#:5769636 This is not the first time I am facing… https://t.co/sujLWvHgCq,negative,,
9.77E+17,"Thanks ! PAYTM Matter Solved, Amount credited Today @PaytmBank @Paytmcare https://t.co/CZxVmyIsTV",positive,,
9.77E+17,"After SC indefinitely push of adhar linking to banks accounts and wallets, why still paytm forcing linking and hold… https://t.co/XSPVrv5JEL",negative,,
9.77E+17,"2/2 I have texted  I have been calling since 20 mins  There's not a single response from @Paytmcare  Disgusting , g… https://t.co/njn4CBa96t",negative,,
9.77E+17,I am less than 18 that means i cannot use paytm.  I am less than 18 that means i cannot get my KYC done! Very good… https://t.co/3hi4eP6Zan,negative,,
9.77E+17,UPI Reference ID 808020885122 21st march 2018 8:01pm @Paytmcare @PaytmBank @Paytm Payment is debited but not create… https://t.co/WhOoATTC3W,negative,,
9.77E+17,@Siddiquibashar2 9860999549 @Paytm @Paytmcare @PaytmBank Dear Sir/Madam  I am Basharat Mohammad Siddhiqui Recently… https://t.co/6xOHZrLOML,,,
9.77E+17,Please enable my merchant account! Hope my request will be heard this time. @paytm @Paytmcare @PaytmMall @PaytmBank @vijayshekhar,negative,,
9.77E+17,Paytm @PaytmBank ATM Card arrived today. Card is very nice looking. ????,positive,,
9.78E+17,@vijayshekhar @PaytmMall   got call frm Paytm mall.he is saying tht u should purchase anytime for 3999? nd got free… https://t.co/NIna6ks6cW,positive,,
9.78E+17,"This week, 'S' is for Shift Dress! Pick your favourite from an entire collection on Paytm Mall! ??",neutral,,
9.78E+17,Plz check my Query ......Reference No.: 57295269 @paytm @Paytmcare @vijayshekhar @PaytmTickets @PaytmMall,neutral,,
9.77E+17,"Dear Paytm,One of my client scanned my QR code and sent Rs 10,000/- to my merchant account on 20th March.Amount got… https://t.co/XDdjgKMMF8",negative,,
9.77E+17,What is minimum age required for Payment Bank Account?  @Paytmcare @Airtel_Presence @IndiaPostOffice… https://t.co/lij72nfMoQ,neutral,,
9.77E+17,Please resolve my query reference no 57284368. @Paytm @PaytmMall @Paytmcare @PaytmBank @vijayshekhar,neutral,,
9.77E+17,How to avoid 3% charge on transferring money from @Paytm wallet to @PaytmBank account.   @Paytmcare #paytmkaro #Paytm #paytmpaymentbank,neutral,,
9.77E+17,PLEASE HELP ME!! @consumerforum_  @eConsumerCourt @JagoGrahakJago_  Paytm is not refunding my money after 11queries… https://t.co/UI8A1hdKDT,negative,,
9.76E+17,Please solve my problem. Unable to kyc to my default number. My Qwery no.54703359 @Paytm @PaytmMall @Paytmcare… https://t.co/UxjnSmr9pg,negative,,
9.76E+17,Pls solve...@Paytmcare  @Paytm @PaytmBank @paytmmallcare https://t.co/KolhN0uHh2,neutral,,
9.76E+17,The most useless and most fraudulent app in the world @Paytm @PaytmBank. #paytmmatkaro,negative,,
9.76E+17,I think this is spam !   Link :  https://t.co/f8BH25lvDy .  .  . . .  @Paytmcare @Paytm @PaytmBank https://t.co/dZnLSEwMFX,neutral,,
9.76E+17,".@Paytm   Don't Carry Cash, Pay Via Paytm To All, #PaytmKaro....  People   Wow, A New Revolution...  Also… https://t.co/90g4RgwYDI",positive,,
9.78E+17,A huge bad service by @Paytm @Paytmcare @PaytmMall  such a bad experience and not resolution find from your side by… https://t.co/eVTBoVsddc,negative,,
9.78E+17,Make summers stylish for your little ones. Shop for kids-wear on Paytm Mall & get up to 75% Off & Additional cashba… https://t.co/ubS7sIVN6T,neutral,,
9.76E+17,WTF @Paytm @PaytmBank @Paytmcare Only 5 UPI transactions allowed per day ? And 10 Transactions From Paytm to Paytm… https://t.co/hSQBa0LUld,negative,,
9.76E+17,"Recharge from https://t.co/PbJOlpxrlr @Airtel_Presence on March 4 for rupee 399, neither benefits received nor refu… https://t.co/wCHisItRPT",negative,,
9.76E+17,Even after 5days my upi transaction is pending with amount debited from my bank ac! No one listens @PaytmBank… https://t.co/eonWcElpUt,negative,,
9.76E+17,"Hello@Paytm I have done KYC of my number today. As per your instructions,I have visited near by store(E zone digita… https://t.co/0bQJsVCzmC",neutral,,
9.76E+17,Wooaahhh!!! Finally it's here...Was waiting for this #RupayCard eagerly from many days... One more added to my buck… https://t.co/0CbiyuetTK,positive,,
9.76E+17,Balance diducted from my account but not credited in @PaytmBank @bankofbaroda,negative,,
9.78E+17,Common @Paytm you are better than this. Your codes are not working. This has happened for the second time. First it… https://t.co/y12DiYYk0C,negative,,
9.76E+17,My @PaytmBank debit card. Just got it today.  #Paytm @RuPay_npci https://t.co/0mM4xZQECr,positive,,
9.76E+17,When reference No.-56790064 would be resolved? @Paytm @Paytmcare @PaytmMall @PaytmBank,neutral,,
9.76E+17,Spent the entire day trying to call a customer care representative @PaytmBank ...All the customer care numbers put… https://t.co/UekabjTFOM,negative,,
9.76E+17,Got My @PaytmBank Debit card ?? https://t.co/bn1RGzjtiR,neutral,,
9.76E+17,India's most sincere bank #PaytmBank delivered my debit card today... Thanks @Paytm @PaytmBank https://t.co/lPEQcep23s,positive,,
9.78E+17,Thank you @PaytmMall for this kick-ass Bluetooth speaker!  Packs quite some sound for the size of most Indian men's… https://t.co/QT3IQr04mR,positive,,
9.77E+17,Just bought a Galaxy S9 Plus on @PaytmMall and got instant delivery at my place and ?6000 cashback! Woo hoo!… https://t.co/Zjs8HZlvMU,positive,,
9.77E+17,Paytm mall and puma shoes low quality @PaytmMall @PUMA @ConsumerReports  December purchases puma shoes from paytm m… https://t.co/ETKsPT5EJ6,negative,,
9.77E+17,Its been about 3 weeks now since my replaced phone arrived from @Paytm @PaytmMall but still no promised cash back o… https://t.co/22UPKvjr4c,negative,,
9.77E+17,Look dapper for every occasion! Shop from an International range of Men's Collection at Paytm Mall & get up to 30%… https://t.co/XbJ5uJqNaG,neutral,,
9.76E+17,Nice @PaytmBank  card https://t.co/e2OHQ7TzyT,positive,,
9.76E+17,Love to be the part of revolution ! @PaytmBank has just changed the way we spend Money  ! #KeepRising https://t.co/2DLt01Jqvz,positive,,
9.76E+17,The @PaytmBank card is too cool.  @vijayshekhar @renusatti @Paytm https://t.co/sqEwqKzm9b,positive,,
9.75E+17,There is a big bug in Paytm with Aadhar linking. @Paytm @vijayshekhar @PaytmBank @PaytmMall @Paytmcare @paytm,negative,,
9.75E+17,Said that kyc is free but the shop members are asking for 20/- per one kyc verification @Paytm @Paytmcare @PaytmBank #KYC,negative,,
9.75E+17,"Hello Idiots ,Is @Paytmcare only for those who know Hindi, English or Bengali? Please provide IVR option in Kannada… https://t.co/N3Fj40GTcx",negative,,
9.77E+17,Pathetic @PaytmMall experience. - Missing item parts. - Pathetic return policy. - Pathetic customer support - execu… https://t.co/c5jxRNrtJu,negative,,
9.75E+17,Paytm is very slow in solving the issues my number 8919173119 @Paytm @Paytmcare @PaytmBank,negative,,
9.75E+17,I have done all steps for verification of Aadhaar card but still I can't send Paytm money to my back account Please… https://t.co/AkPGRppMDv,negative,,
9.75E+17,How cool is this best of best in debit card ever thank u @PaytmBank https://t.co/wfPJDLEKgd,positive,,
9.75E+17,"@Paytmcare @BlueDartTweets  Delivery of my @PaytmBank  Debit card with AWB (34966074253)  held undelivered, since t… https://t.co/OKtCAmZWBj",negative,,
9.75E+17,"Dear @Paytm and @RBI, please confirm us that the kyc details (pan and aadhar) provided will be used only for wallet… https://t.co/6AW3CjOLjy",neutral,,
9.75E+17,Payment deducted from wallet but not received by shopkeeper.. what is the issue why paytm is very slow in these day… https://t.co/HY3Za2IWO7,negative,,
9.75E+17,"(Reference No.55029509) So many times I've emailed,called n tried to reach you but all time no #Response.Even you d… https://t.co/weTu5l4W4T",negative,,
9.77E+17,Get your hands on one of the highest selling two-wheelers in India. Shop for Honda Activa on Paytm Mall & get ?2000… https://t.co/N8T6XX8DEt,positive,,
9.79E+17,"Your KYC centres in Mumbai are forcing users to pay ?30 as charges for KYC, while the sms for OTP verification says… https://t.co/1hgZja5d4C",negative,,
9.79E+17,Paytm is good for those who don't get salaries and banks refuse to open zero balance acc. @Paytm @Paytmcare,negative,,
9.77E+17,Ordered a Fossil(ES3713 women analog) watch from @PaytmMall and received an empty box in response.  Have been follo… https://t.co/sXyu1fBknx,negative,,
9.77E+17,Love the look? Shop the look at my specially curated store @PaytmMall here - - - > https://t.co/IQN6f4ZSxT shop awa… https://t.co/v77tuAFcpT,neutral,,
9.77E+17,Htc u ultra available for 25k on @PaytmMall. A very tempting deal. If only the battery was a bit bigger.,neutral,,
9.79E+17,Adding money through Axis bank net banking is under maintenance for a few days now.. when will it be available ?? P… https://t.co/irkMdQvxcS,neutral,,
9.77E+17,"@RBI @UrjitPatelRBI @arunjaitley @narendramodi Dear modi ji ,see how your digital payment service exploiting with p… https://t.co/KLvkov0ddZ",negative,,
9.77E+17,"Done kyc for  paytm wallet with ur agent,and got d msg, congratulations for opening paytm account with us.who has a… https://t.co/cNH8kJYnD4",negative,,
9.77E+17,My money got deducted while transferring to my bank account using my credit card and the money neither got credited… https://t.co/UTEFojroEg,negative,,
9.76E+17,"Installed the app @PaytmMall for the first time,cart value is more than 1500 still not able to apply coupon for fir… https://t.co/vwN2ZEXmkS",negative,,
9.76E+17,#FlashSale - Unleash the gamer in you with Paytm Mall. Shop Intel-powered gaming laptops at great prices.  https://t.co/Q8bWjzCmZm,,0.1666666667,0.4861111111
9.76E+17,Stay stylish this summer with my special curation @PaytmMall that features trendy #fashion awesome accessories & mu… https://t.co/lETJx9atVm,positive,0.6142857143,0.8678571429
9.79E+17,did an upi transaction with paytm upi address with (UPI Ref no 808311453128) with @cubltd  bank and the transaction… https://t.co/rJKDRsnJys,,0,0
9.76E+17,"@renusatti Mam, I was trying to resolve some issue with my Paytm account so, I called the customer support but the… https://t.co/crdmmiUpH3",negative,0,0
9.75E+17,Very poor service... waiting for my KYC to be done from past one month ... concerned person fix appointments and ne… https://t.co/FRzYULQ9xf,negative,-0.385,0.515
9.76E+17,Price for this scooter at 20000INR MRP IT IS TRUE OR THEIR IS Some HIDDEN T&C. @hondaindia @HRC_MotoGP @PaytmMall… https://t.co/wuALGfNhYm,,0.09166666667,0.4916666667
9.76E+17,Win Samsung Galaxy J3 Pro Every Week! Buy deals now to win #PaytmDeals Click here https://t.co/BAXtcxIQ6v https://t.co/aWqMWdNnp6,,0.9,0.4
9.79E+17,Thank for the immediate support after my tweet @Paytmcare . Money has been returned to my account. Thanks to Dheera… https://t.co/uEGeVFefUR,positive,0.2,0.2
9.79E+17,How to add paytm wallet money to paytm bank ac and charges to money....@Paytm  @Paytmcare,neutral,0,0
9.76E+17,Looking for some latest #fashion finds to add to ur stellar wardrobe? Check out my exclusive @PaytmMall store here… https://t.co/zzeHiMzeGu,positive,0.375,0.575
9.76E+17,"This week, 'R' is for Raglan T-Shirts – Shop from a wide variety of Fashion products, only at Paytm Mall!",positive,-0.05,0.7
9.76E+17,Love playing dress up? Check my @PaytmMall store link that features my favorites - - - > https://t.co/IQN6f4ZSxT ha… https://t.co/IzmN9WEJ6w,,0.5,0.6
9.76E+17,Love stylish ensembles and accessories? Check out my unique store @PaytmMall here---> https://t.co/IQN6f4ZSxT to ge… https://t.co/8JdkOMrmSG,,0.4583333333,0.8666666667
9.76E+17,Fraud of @Paytm @PaytmMall & @vijayshekhar .Same shoe is available on @myntra in Rs 7199 but on @Paytm it is priced… https://t.co/KquWFXQc1z,negative,0.4,0.4
9.75E+17,Brighten your weekends with Starry light projector from Paytm Mall's World Store. Shop now. #SundayFunday  https://t.co/5hYpY6WsfY,positive,0.4,0.7
9.75E+17,Is it legal to sell product at higher price than the MRP? @PaytmMall https://t.co/jMRSlHCKWI,,0.225,0.35
9.79E+17,"Paytm sucks,  that is exactly reason why I hate. Tiday it is multi millionaire company but there is no support syst… https://t.co/2fWng6jDb8",negative,-0.2833333333,0.4833333333
9.79E+17,"Hello every one, My @Paytm account open today but my branch name not cleared. This is my @Paytm User id/ Mobile no ""8447112976"". @Paytmcare",neutral,0,0.5
9.79E+17,"For each follow up @Paytmcare @paytmbankcare create a new ticket, closes them in 24 h and calls them resolved becau… https://t.co/E8jXvtT5Ws",neutral,0.1363636364,0.4545454545
9.79E+17,A horrible business model @Paytmcare  No customer care mumber available to attend calls and such a pathetic condition.  #PaytmBandKaro,negative,-0.4,0.725
9.79E+17,Despite complaining for more than a week @paytm has ignored all the queries made by number of customers who added… https://t.co/Y9poxrpDEZ,negative,0.5,0.5
9.79E+17,On scanning from paytm mall app.  @Paytm @Paytmcare https://t.co/72P8PDP6ZU,negative,0,0
9.79E+17,"#Mumbai, be a part of the special screening of the award-winning sci-fi, #Interstellar with maestro director,… https://t.co/2IXx9wvXtF",positive,0.3571428571,0.5714285714
9.79E+17,"Intense, invincible. Meet the baddie of #Baaghi2.  Book your tickets on Paytm: https://t.co/UydSAIJylt… https://t.co/XNFla4GhPB",positive,0.2,1
9.79E+17,Why you not refund if its your system fault ?   @Paytmcare @Paytm,negative,0,0
9.79E+17,disappointed with customer care services @Paytm @Paytmcare @vijayshekhar,negative,-0.75,0.75
9.78E+17,Any update sir regarding my KYC process ??? @vijayshekhar @Paytmcare @Paytm @RBI,neutral,0,0
9.78E+17,"Dont go for paytm, payment of 500 rupees deducted but recharge not done. Also amount not refunded to my account. Ve… https://t.co/7JWDmv5MyV",negative,0,0
9.78E+17,@1mgOfficial Really bad service from last 2 order almost there is all item have price error. So Almost all offers r… https://t.co/GsFau0oJik,negative,-0.2,0.2444444444
9.78E+17,No response to my quarry @Paytm @Paytmcare,negative,0,0
9.78E+17,Feels #VeryDisappointed of #Paytm as an old & KYC customer  ss1> Rejected 2 transaction 2> 1st reply confirmed retu… https://t.co/T1ldzJUdWN,negative,0.25,0.6
9.78E+17,"Dear, @goairlinesindia i havent got my refunds yet???  @Paytmcare",neutral,0,0
9.78E+17,#DeletePaytm why aadhar  @Paytmcare,negative,0,0
9.78E+17,#Rangasthalam Online Advance Bookings Open in Many Towns & cities in @bookmyshow @PaytmTickets @justickets ??  Grand… https://t.co/aPHXxp7Hsu,positive,0.25,0.5
9.78E+17,A refund request has been initiated against a failed transaction for bill payment. Refund not yet received. kindly help.@Paytmcare,neutral,0.05,0.6
9.78E+17,I didn't get any solution so far. Plz resolve the issue. @Paytm @Paytmcare https://t.co/Kd9P7muqs2,negative,0.1,1
9.78E+17,please check this out @Paytmcare  Amount got deducted but not get refunded yet. https://t.co/mS1YY0UpnL,negative,0,0
9.78E+17,Your revert is awaited. @Paytm @vijayshekhar @airtelindia https://t.co/iJAI7upmGu,neutral,0,0
9.78E+17,It's seems @Paytm doesnot care about their customers. Continously trying to reach to cx executive but unable to. Ve… https://t.co/b1QhwJfPts,negative,-0.5,0.5
9.78E+17,#Rangasthalam bookings now open on Paytm! Use code: FIRSTMOVIE and get 50% Cashback* up to ?150 on your 1st ticket… https://t.co/YhOgd6rpk7,,0,0.5
9.78E+17,Query Ref. No 57121167.. Need your urgent help here.. This query of mine is going into a loop now.. Deduction of Rs… https://t.co/2C8vKZzekG,neutral,0,0
9.78E+17,Jo tera torture hai… wo mera warm up hai. #Baaghi2In4Days Book your #Baaghi2 tickets on Paytm:… https://t.co/N0bsOGnBZn,,0.6,0.6
9.78E+17,Hi @PaytmTickets @Paytmcare Repeatedly getting this error. What to make of the same? Cc @FHF_Official https://t.co/FLgAnoakkM,neutral,0,0.125
9.78E+17,Hi @Uber_India paid for a trip using @Paytm including the promo code #PAYTM2018  I am yet to receive the cash back… https://t.co/E01K2hCtZT,neutral,0,0
9.79E+17,"First get idenfied, then get verified... #Paytm this is unacceptable. Go figure out how to verify. In today's day d… https://t.co/DyNw2H5tsb",negative,0.25,0.3333333333
9.79E+17,Wow... with just few ATMs installed @Paytm has near free ride on other bank ATM networks. Traditional large banks b… https://t.co/Himf1C9O4Y,positive,0.06989795918,0.5505102041
9.78E+17,"#Mumbai, witness the special screening of Oscar-winning epic #Dunkirk in its original format, with… https://t.co/hTTVfsA9IH",,0.2773809524,0.5738095238
9.79E+17,Need help. DM plz  @Paytm,neutral,0,0
9.78E+17,@vijayshekhar Any updates No response for the past 10 days @Paytm @Paytmcare https://t.co/ONRt2BAYqH,neutral,-0.25,0.25
9.79E+17,@TheOfficialSBI my father in laws SBI account was debited by phishing and amount transferred to paytm to the tune o… https://t.co/S5DAbwAdtW,negative,0,0
9.79E+17,one of the biggest fraud @Paytm.. Guys avoid loading money in Paytm.,negative,,
9.78E+17,I recharged from @Paytm  Please investigate as @airtelindia is not responding. @Paytmcare @vijayshekhar… https://t.co/r349KBiFpw,neutral,,
9.78E+17,How to delete one's profile in Paytm @Paytmcare,,,
9.79E+17,@vijayshekhar  Sir everything is fine and good sir with @Paytm but not satisfied for 18yrs mandatory. We students u… https://t.co/2n4RVMC51e,neutral,,
9.79E+17,.@Paytm please check your dm,neutral,,
9.78E+17,#AskPaytm @Paytmcare   Why my KYC is not completing even after filling up of OTP https://t.co/Cgd3Z59NpA,neutral,,
9.78E+17,Hope it will resolve asap https://t.co/KQDyjVEOIZ,positive,,
9.79E+17,Big news for all @Paytm and @ErosNow users! ?? Paytm new users on Eros Now can enjoy a 20%* cashback on monthly subs… https://t.co/FAy4IgnW6f,positive,,
9.79E+17,about the 7th time in the last 6 months that @Paytm has called and confirmed that their person will come for KYC 't… https://t.co/PbvBJcHfJQ,negative,,
9.78E+17,Irctc txn id 100001182678773 Paytm ref no 57872222 Upi ref no 806421881942 Failed ticket txn of amount 3701on 5th m… https://t.co/BjTtCIhtR7,negative,,
9.78E+17,Trying to contact @paytmcare but no response. ????????????????,negative,,
9.79E+17,While making fees payment it creates 4 duplicate order. Query raised ref. No 57998945. Pl help.. @Paytm,neutral,,
9.79E+17,Why paytm is asking to share  my aadhar front https://t.co/JKvprQjS22 12 digit aadhar no and my thumb impression is… https://t.co/ZYS1iphSXf,neutral,,
9.77E+17,"#Rangasthalam BENGALURU  City Advance Bookings Opened.!  Checkout "" @PaytmTickets @justickets @TicketNew  ""… https://t.co/voJ7vKHw0i",positive,,
9.77E+17,#Rangasthalam Bengaluru City Advance Bookings Open in @PaytmTickets ??  Book Your Tickets ---->>>… https://t.co/zn6bwocqd0,,,
9.78E+17,Please find below the complaint no @Paytm @Paytmcare https://t.co/tytrX02o38,neutral,,
9.78E+17,Why @Paytm is not available to pay for Indane Gas bill? Add it soon please. @Paytmcare,positive,,
9.79E+17,"@GetLocoNow  I won this amount 10days ago but not yet credited, even though I added payTM number to account. https://t.co/BnZjh9PVqs",neutral,,
9.78E+17,The multi-billion dollar cost of poor customer service #NoAcknowledgement #SuperIgnoreMode… https://t.co/o9hQTIjexf,negative,,
9.78E+17,Getting this error from past 3 days @Paytm @Paytmcare https://t.co/NHbaftIAur,negative,,
9.78E+17,"Still this problem is not solved, Y @Paytmcare @Paytm is making false promises nd very poor service. https://t.co/nsJMSJc36A",negative,,
9.77E+17,Q5. There's no life without a few hiccups! Tell us what is your #Hichki? #HichkiOnPaytm https://t.co/XGczCGeasJ https://t.co/4dELsF3vQS,,,
9.79E+17,"Recharged my @airtelindia number from @Paytm on Thursday, 22Mar. After 5 days, still none of them is taking respons… https://t.co/p8AwjNb11G",negative,,
9.78E+17,Very poor and bad service by paytm i hv 2 ACCOUNT but 1 email id i hv lost my 1 no. So i want to register same emai… https://t.co/iamoUgH6gh,negative,,
9.78E+17,Almost everyone in Sector 22 and Sector 23 gurgaon is asking...do some mystery checks. https://t.co/7jwuMg0yvv,neutral,,
9.77E+17,Q4. This one is super easy! #HichkiOnPaytm https://t.co/XGczCGvLRj https://t.co/WReYF6eySa,,,
9.78E+17,"I got this message from my friend But I didn't received amount in my wallet yet., And amount deducted from my frien… https://t.co/QWku6p5OeS",negative,,
9.79E+17,@vijayshekhar  I have been using paytm since it's inception. I was one of the happy customers but now your customer… https://t.co/y5FPjbkKKz,neutral,,
9.79E+17,#paytm #issue  @vijayshekhar I have paid money through paytm yesterday my money was cut down but didnt get to that… https://t.co/AeK0qZTZce,negative,,
9.78E+17,"Hi @UIDAI @ceo_uidai very important issue, @Paytm is misusing my Aadhar number, it is saying my aadhar card is alre… https://t.co/v5wUyg6KF5",negative,,
9.78E+17,Y don’t u go for digital debit card @Paytm @vijayshekhar https://t.co/fNPmBhirLE,neutral,,
9.77E+17,Q3. Who has composed the music of this movie? #HichkiOnPaytm https://t.co/XGczCGeasJ https://t.co/Aaqwu8I4xD,,,
9.78E+17,Not receiving any OTP from paytm to complete my transactions since morning. Please look into it. @Paytmcare,neutral,,
9.79E+17,@vijayshekhar how's paytm payments bank different from other banks?,neutral,,
9.79E+17,.@Paytm is giving 100% Cashback on first recharge. This must be interesting. Check this out. https://t.co/2aU9cVZmOq,positive,,
9.78E+17,Still not got any response from urs end.@Paytm @Paytmcare @vijayshekhar https://t.co/wmRTJEmjuJ,negative,,
9.78E+17,I have not r received upi cashback for 17-3-18 @Paytmcare,negative,,
9.77E+17,Q2. The film is inspired from a book. Tell us its name!  #HichkiOnPaytm https://t.co/XGczCGeasJ https://t.co/vvKe7Vmqx6,,,
9.77E+17,Q1. Which syndrome does Naina suffer from in the movie? #HichkiOnPaytm https://t.co/XGczCGeasJ https://t.co/VFBfl2vlzG,,,
9.78E+17,How to check transactions? Passbook do not show payment done on uber also there is no way to find amount left after… https://t.co/Y9J0c2Q81U,neutral,,
9.77E+17,Read the rules and get ready to play #HichkiOnPaytm #contest. 5 lucky winners get a chance to meet #RaniMukerji!… https://t.co/hZSJmjNQKr,positive,,
9.77E+17,"#ContestAlert: Here's your chance to MEET the Queen of Bollywood, #RaniMukerji! RT & follow @PaytmTickets to enter… https://t.co/ChNj7J7AuU",,,
9.77E+17,Watch #RaniMukerji say #PaytmKaro! Book #Hichki tickets and get 50% Cashback*. Use code: HICHKI150.… https://t.co/e27beHgBBE,,,
9.77E+17,#RaniMukerji has a special message for all the teachers out there! Register now on Paytm and get 100% Cashback* on… https://t.co/nBTKiDFi2r,neutral,,
9.76E+17,"Teachers, here's a special offer only for you! Register now on Paytm and get 100% Cashback* on one movie ticket for… https://t.co/ctG9BfHLWM",positive,,
9.78E+17,@vijayshekhar @Paytmcare :My kyc issue with query reference no 57525098 haven't been resolved since long time and h… https://t.co/7bh9eLsTLQ,negative,,
9.76E+17,The new trailer for #AvengersInfinityWar unleashes shocking details about Marvel's deadliest battle. Watch now!… https://t.co/mgHs4JYI9R,,,
9.79E+17,#PayTM cheat customers enforcing #Aadhar  Non-AADHAR KYC of #PayTM only exists in paper Hello @Paytm tell me just o… https://t.co/QvEHlyIvkz,negative,,
9.78E+17,Absolutely horrible service. Have raised a request for KYC for over a month. & twice the executive have not turned… https://t.co/8pjcijPBOO,negative,,
9.78E+17,"@vijayshekhar Ji it’s now day 8, after taking all the required information @Paytmcare or @paytmmallcare were not ab… https://t.co/Sq9nRAr5qP",Negative,0,0
